"year","industry_aggregation_nzsioc","industry_code_nzsioc","industry_name_nzsioc","units","variable_code","variable_name","variable_category","value","industry_code_anzsic06"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H21","Opening stocks","Financial performance",339,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H22","Closing stocks","Financial performance",363,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H23","Surplus before income tax","Financial performance",825,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H24","Total assets","Financial position",14917,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H25","Current assets","Financial position",2617,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H26","Fixed tangible assets","Financial position",9749,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H29","Other assets","Financial position",2551,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H30","Total equity and liabilities","Financial position",14917,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H31","Shareholders funds or owners equity","Financial position",6952,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H32","Current liabilities","Financial position",3460,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H33","Other liabilities","Financial position",4505,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars","H34","Total income per employee count","Financial ratios",184100,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars","H35","Surplus per employee count","Financial ratios",32200,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H36","Current ratio","Financial ratios",76,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H37","Quick ratio","Financial ratios",65,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H39","Return on equity","Financial ratios",12,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H40","Return on total assets","Financial ratios",6,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H41","Liabilities structure","Financial ratios",47,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H01","Total income","Financial performance",4723,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H04","Sales, government funding, grants and subsidies","Financial performance",4406,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H05","Interest, dividends and donations","Financial performance",132,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H07","Non-operating income","Financial performance",185,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H08","Total expenditure","Financial performance",3922,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H09","Interest and donations","Financial performance",201,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H10","Indirect taxes","Financial performance",36,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H11","Depreciation","Financial performance",231,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H12","Salaries and wages paid","Financial performance",816,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H13","Redundancy and severance","Financial performance",0,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H19","Purchases and other operating expenses","Financial performance",2619,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H20","Non-operating expenses","Financial performance",19,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H21","Opening stocks","Financial performance",339,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H22","Closing stocks","Financial performance",363,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H23","Surplus before income tax","Financial performance",825,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H24","Total assets","Financial position",14917,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H25","Current assets","Financial position",2617,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H26","Fixed tangible assets","Financial position",9749,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H29","Other assets","Financial position",2551,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H30","Total equity and liabilities","Financial position",14917,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H31","Shareholders funds or owners equity","Financial position",6952,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H32","Current liabilities","Financial position",3460,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H33","Other liabilities","Financial position",4505,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars","H34","Total income per employee count","Financial ratios",184100,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Dollars","H35","Surplus per employee count","Financial ratios",32200,"ANZSIC06 groups A011, A012, and A013"
